"","X.Lead.","X.Follower.","X.leaddata.","X.followdata.","X.lag.","X.pvalue."
"1","Lead","Follower","leaddata","followdata","lag","pvalue"
"3","Vehicle1","Vehicle3","31","33","-2","5.16669685837526e-08"
"4","Vehicle1","Vehicle3","28","31","-3","2.04195233717959e-06"
"5","Vehicle1","Vehicle4","28","31","-3","7.54901768605919e-05"
"6","Vehicle1","Vehicle5","28","30","-2","7.25401464897957e-06"
"7","Vehicle1","Vehicle5","25","28","-3","5.08983852752003e-06"
"8","Vehicle1","Vehicle12","24","27","-3","0.000547311362890036"
"10","Vehicle2","Vehicle10","24","27","-3","0.000401756343667032"
"11","Vehicle2","Vehicle10","21","25","-4","0.000834126689176524"
"14","Vehicle4","Vehicle5","28","30","-2","0.000101694066345309"
"15","Vehicle4","Vehicle12","24","27","-3","5.29103005702785e-06"
"16","Vehicle4","Vehicle13","24","26","-2","0.000834256294759887"
"17","Vehicle4","Vehicle13","21","24","-3","0.000995863373284623"
"19","Vehicle5","Vehicle11","15","19","-4","5.1910708236638e-06"
"20","Vehicle5","Vehicle12","24","27","-3","0.00049195018840274"
"22","Vehicle6","Vehicle8","17","20","-3","0.000673130321952854"
"24","Vehicle7","Vehicle15","32","34","-2","0.00010409501929605"
"26","Vehicle8","Vehicle9","20","22","-2","0.000114765902143939"
"36","Vehicle17","Vehicle22","20","23","-3","0.000859377725913324"
"39","Vehicle20","Vehicle25","18","21","-3","0.000391809732039613"
"42","Vehicle22","Vehicle25","21","23","-2","0.000980496996151805"
"43","Vehicle22","Vehicle27","31","33","-2","0.000341204356996017"
"44","Vehicle22","Vehicle33","25","29","-4","0.000186855622443388"
"46","Vehicle23","Vehicle24","19","22","-3","0.000822409842376089"
"49","Vehicle25","Vehicle30","21","23","-2","0.000354077804741063"
"54","Vehicle29","Vehicle30","23","26","-3","0.000221421830747819"
"61","Vehicle35","Vehicle58","18","22","-4","0.000855925968011145"
"62","Vehicle35","Vehicle69","20","24","-4","0.000340605410909304"
"63","Vehicle35","Vehicle104","38","40","-2","0.000863109667938137"
"65","Vehicle36","Vehicle38","22","24","-2","0.000125866108317254"
"66","Vehicle36","Vehicle43","18","21","-3","0.000582735928496374"
"68","Vehicle37","Vehicle38","20","22","-2","0.000938910885460139"
"69","Vehicle37","Vehicle40","20","22","-2","0.000451512946221229"
"71","Vehicle38","Vehicle39","34","37","-3","4.79565371325427e-05"
"72","Vehicle38","Vehicle39","31","35","-4","4.6444984192359e-05"
"73","Vehicle38","Vehicle41","22","25","-3","0.000877804815144594"
"74","Vehicle38","Vehicle59","31","35","-4","0.000533043379617221"
"76","Vehicle39","Vehicle58","18","22","-4","0.000641130379943867"
"78","Vehicle40","Vehicle47","22","25","-3","0.000568320182412483"
"79","Vehicle40","Vehicle52","31","34","-3","0.000261141458454396"
"83","Vehicle43","Vehicle46","15","19","-4","0.000355122182108673"
"84","Vehicle43","Vehicle48","14","18","-4","0.000700349850296688"
"86","Vehicle44","Vehicle49","14","18","-4","0.000457288362341131"
"95","Vehicle52","Vehicle55","34","36","-2","0.000793020193936112"
"96","Vehicle52","Vehicle59","34","36","-2","0.000218278640080406"
"97","Vehicle52","Vehicle62","31","34","-3","6.08904324100909e-05"
"101","Vehicle55","Vehicle59","35","37","-2","3.75905454705175e-05"
"107","Vehicle60","Vehicle67","17","21","-4","2.85956829393733e-05"
"108","Vehicle60","Vehicle71","26","28","-2","0.000197292819434759"
"109","Vehicle60","Vehicle71","23","26","-3","0.000707446094373939"
"112","Vehicle62","Vehicle80","32","34","-2","0.000447709232588349"
"113","Vehicle62","Vehicle80","29","32","-3","0.000497188800260708"
"114","Vehicle62","Vehicle95","31","34","-3","0.000468405097820514"
"115","Vehicle62","Vehicle97","39","41","-2","3.38597437696588e-05"
"116","Vehicle62","Vehicle97","36","39","-3","0.000392788791908597"
"117","Vehicle62","Vehicle97","33","37","-4","0.000536836471889496"
"119","Vehicle63","Vehicle103","37","39","-2","6.33511973913852e-06"
"120","Vehicle63","Vehicle103","34","37","-3","0.000742654454720129"
"121","Vehicle63","Vehicle103","31","35","-4","0.000298545977325003"
"123","Vehicle64","Vehicle76","29","32","-3","7.34390811694852e-05"
"124","Vehicle64","Vehicle76","26","30","-4","0.000264223163342828"
"129","Vehicle68","Vehicle74","26","28","-2","0.000535166120996981"
"130","Vehicle68","Vehicle74","23","26","-3","7.31676880873056e-05"
"131","Vehicle68","Vehicle74","20","24","-4","3.45179801023913e-05"
"132","Vehicle68","Vehicle82","23","26","-3","0.000534842916646966"
"133","Vehicle68","Vehicle82","20","24","-4","0.000894830707276274"
"135","Vehicle69","Vehicle78","23","26","-3","8.9106575816833e-06"
"140","Vehicle73","Vehicle78","25","28","-3","0.000178234102883675"
"144","Vehicle76","Vehicle92","33","35","-2","7.0745160753078e-05"
"145","Vehicle76","Vehicle92","30","33","-3","0.000883609370336227"
"147","Vehicle77","Vehicle83","20","22","-2","0.000950665721040147"
"149","Vehicle78","Vehicle80","27","30","-3","0.000462398168914767"
"150","Vehicle78","Vehicle82","22","26","-4","0.000476317369697597"
"151","Vehicle78","Vehicle85","17","19","-2","0.000694922681126651"
"152","Vehicle78","Vehicle87","27","30","-3","0.000981556570590964"
"154","Vehicle79","Vehicle104","38","40","-2","0.000265122583304516"
"155","Vehicle79","Vehicle104","35","38","-3","0.000402484863672013"
"157","Vehicle80","Vehicle101","29","32","-3","0.000310001527385224"
"159","Vehicle81","Vehicle87","15","18","-3","0.000298795631193286"
"161","Vehicle82","Vehicle98","25","28","-3","0.00056488562950496"
"163","Vehicle83","Vehicle87","28","30","-2","0.000535376075496413"
"164","Vehicle83","Vehicle87","25","28","-3","8.88183319876369e-05"
"167","Vehicle85","Vehicle90","14","17","-3","0.000665544755352426"
"169","Vehicle86","Vehicle87","24","27","-3","6.37134871116413e-06"
"170","Vehicle86","Vehicle87","21","25","-4","0.000807601459324171"
"171","Vehicle86","Vehicle91","27","29","-2","0.000786909152058757"
"172","Vehicle86","Vehicle101","27","29","-2","0.000944830703779686"
"173","Vehicle86","Vehicle101","24","27","-3","0.000324887766110942"
"179","Vehicle91","Vehicle92","33","35","-2","0.000711427829158396"
"180","Vehicle91","Vehicle96","34","36","-2","0.00032445332425787"
"181","Vehicle91","Vehicle102","34","36","-2","0.000256962775124439"
"182","Vehicle91","Vehicle102","31","34","-3","0.000226841350599395"
"186","Vehicle94","Vehicle97","39","41","-2","5.71538465721705e-08"
"187","Vehicle94","Vehicle97","36","39","-3","2.19759909712971e-08"
"188","Vehicle94","Vehicle97","33","37","-4","1.42637900799228e-07"
"194","Vehicle99","Vehicle105","18","22","-4","0.000123344501095735"
"195","Vehicle99","Vehicle108","32","35","-3","0.000906896901230431"
